timeseries_id;datapoints
00b87c59-3882-11e8-8680-0242ac120002;10.39
00b87c59-3882-11e8-8680-0242ac120002;10.06
00b87c59-3882-11e8-8680-0242ac120002;9.62
00b87c59-3882-11e8-8680-0242ac120002;9.93
00b87c59-3882-11e8-8680-0242ac120002;9.32
00b87c59-3882-11e8-8680-0242ac120002;8.23
00b87c59-3882-11e8-8680-0242ac120002;8.65
00b87c59-3882-11e8-8680-0242ac120002;9.84
00b87c59-3882-11e8-8680-0242ac120002;10.95
00b87c59-3882-11e8-8680-0242ac120002;12.29
00b87c59-3882-11e8-8680-0242ac120002;13.15
00b87c59-3882-11e8-8680-0242ac120002;14.05
00b87c59-3882-11e8-8680-0242ac120002;15.74
00b87c59-3882-11e8-8680-0242ac120002;14.48
00b87c59-3882-11e8-8680-0242ac120002;15.48
00b87c59-3882-11e8-8680-0242ac120002;16.04
00b87c59-3882-11e8-8680-0242ac120002;16.48
00b87c59-3882-11e8-8680-0242ac120002;16.22
00b87c59-3882-11e8-8680-0242ac120002;15.25
00b87c59-3882-11e8-8680-0242ac120002;14.4
00b87c59-3882-11e8-8680-0242ac120002;14.79
00b87c59-3882-11e8-8680-0242ac120002;14.7
00b87c59-3882-11e8-8680-0242ac120002;15.34
00b87c59-3882-11e8-8680-0242ac120002;15.79
00b87c59-3882-11e8-8680-0242ac120002;15.79
00b87c59-3882-11e8-8680-0242ac120002;16.69
00b87c59-3882-11e8-8680-0242ac120002;17.22
00b87c59-3882-11e8-8680-0242ac120002;18.4
00b87c59-3882-11e8-8680-0242ac120002;18.15
00b87c59-3882-11e8-8680-0242ac120002;19.05
00b87c59-3882-11e8-8680-0242ac120002;19.47
00b87c59-3882-11e8-8680-0242ac120002;19.82
00b87c59-3882-11e8-8680-0242ac120002;20.98
00b87c59-3882-11e8-8680-0242ac120002;20.01
00b87c59-3882-11e8-8680-0242ac120002;20.53
00b87c59-3882-11e8-8680-0242ac120002;22.04
00b87c59-3882-11e8-8680-0242ac120002;21.54
00b87c59-3882-11e8-8680-0242ac120002;21.91
00b87c59-3882-11e8-8680-0242ac120002;22.42
00b87c59-3882-11e8-8680-0242ac120002;19.58
00b87c59-3882-11e8-8680-0242ac120002;19.86
00b87c59-3882-11e8-8680-0242ac120002;20.14
00b87c59-3882-11e8-8680-0242ac120002;19.58
00b87c59-3882-11e8-8680-0242ac120002;19.91
00b87c59-3882-11e8-8680-0242ac120002;21.37
00b87c59-3882-11e8-8680-0242ac120002;21.92
00b87c59-3882-11e8-8680-0242ac120002;22.73
00b87c59-3882-11e8-8680-0242ac120002;20.51
00b87c59-3882-11e8-8680-0242ac120002;20.72
00b87c59-3882-11e8-8680-0242ac120002;21.75
00b87c59-3882-11e8-8680-0242ac120002;22.01
00b87c59-3882-11e8-8680-0242ac120002;23.59
00b87c59-3882-11e8-8680-0242ac120002;23.73
00b87c59-3882-11e8-8680-0242ac120002;25.15
00b87c59-3882-11e8-8680-0242ac120002;25.6
00b87c59-3882-11e8-8680-0242ac120002;25.37
00b87c59-3882-11e8-8680-0242ac120002;26.31
00b87c59-3882-11e8-8680-0242ac120002;30.25
00b87c59-3882-11e8-8680-0242ac120002;29.82
00b87c59-3882-11e8-8680-0242ac120002;27.39
00b87c59-3882-11e8-8680-0242ac120002;25.38
00b87c59-3882-11e8-8680-0242ac120002;25.3
00b87c59-3882-11e8-8680-0242ac120002;23.9
00b87c59-3882-11e8-8680-0242ac120002;23.49
00b87c59-3882-11e8-8680-0242ac120002;25.22
00b87c59-3882-11e8-8680-0242ac120002;25.31
00b87c59-3882-11e8-8680-0242ac120002;28.02
00b87c59-3882-11e8-8680-0242ac120002;28.49
00b87c59-3882-11e8-8680-0242ac120002;28.96
00b87c59-3882-11e8-8680-0242ac120002;29.68
00b87c59-3882-11e8-8680-0242ac120002;30.19
00b87c59-3882-11e8-8680-0242ac120002;30.4
00b87c59-3882-11e8-8680-0242ac120002;31.05
00b87c59-3882-11e8-8680-0242ac120002;30.73
00b87c59-3882-11e8-8680-0242ac120002;29.45
00b87c59-3882-11e8-8680-0242ac120002;27.11
00b87c59-3882-11e8-8680-0242ac120002;26.24
00b87c59-3882-11e8-8680-0242ac120002;25.62
00b87c59-3882-11e8-8680-0242ac120002;24.2
